periode_data;tanggal;pm10;so2;co;o3;no2;max;critical;categori;lokasi_spku
202005;01/05/20;55;26;21;83;10;83;O3;SEDANG;DKI5
202005;02/05/20;36;22;12;80;9;80;O3;SEDANG;DKI5
202005;03/05/20;65;34;35;49;11;65;PM10;SEDANG;DKI5
202005;04/05/20;53;21;14;75;8;75;O3;SEDANG;DKI5
202005;05/05/20;53;22;18;73;9;73;O3;SEDANG;DKI5
202005;06/05/20;52;22;14;63;7;63;O3;SEDANG;DKI5
202005;07/05/20;67;24;18;69;9;69;O3;SEDANG;DKI5
202005;08/05/20;91;22;18;120;10;120;O3;TIDAK SEHAT;DKI5
202005;09/05/20;77;22;22;75;12;77;PM10;SEDANG;DKI4
202005;10/05/20;72;23;27;81;15;81;O3;SEDANG;DKI5
202005;11/05/20;54;24;18;83;8;83;O3;SEDANG;DKI5
202005;12/05/20;57;23;20;81;10;81;O3;SEDANG;DKI5
202005;13/05/20;55;22;17;79;8;79;O3;SEDANG;DKI5
202005;14/05/20;61;23;17;64;12;64;O3;SEDANG;DKI3
202005;15/05/20;66;23;18;62;9;66;PM10;SEDANG;DKI2
202005;16/05/20;65;23;17;77;8;77;O3;SEDANG;DKI5
202005;17/05/20;74;23;18;122;9;122;O3;TIDAK SEHAT;DKI5
202005;18/05/20;62;21;15;79;10;79;O3;SEDANG;DKI5
202005;19/05/20;42;23;15;119;13;119;O3;TIDAK SEHAT;DKI5
202005;20/05/20;61;23;14;73;9;73;O3;SEDANG;DKI4
202005;21/05/20;33;23;14;79;12;79;O3;SEDANG;DKI2
202005;22/05/20;70;22;16;88;17;88;O3;SEDANG;DKI5
202005;23/05/20;42;22;15;87;8;87;O3;SEDANG;DKI5
202005;24/05/20;62;21;26;65;11;65;O3;SEDANG;DKI2
202005;25/05/20;50;25;15;44;9;50;PM10;BAIK;DKI4
202005;26/05/20;52;42;18;45;8;52;PM10;SEDANG;DKI4
202005;27/05/20;37;22;12;76;10;76;O3;SEDANG;DKI2
202005;28/05/20;64;35;16;136;16;136;O3;TIDAK SEHAT;DKI5
202005;29/05/20;62;27;16;134;12;134;O3;TIDAK SEHAT;DKI5
202005;30/05/20;63;38;36;73;11;73;O3;SEDANG;DKI5
202005;31/05/20;54;32;28;66;9;66;O3;SEDANG;DKI5
202008;18/08/20;75;25;19;99;14;99;O3;SEDANG;DKI5
202008;19/08/20;80;33;29;82;18;82;O3;SEDANG;DKI3
202008;20/08/20;62;30;18;64;13;64;O3;SEDANG;DKI3
202008;21/08/20;71;32;10;58;10;71;PM10;SEDANG;DKI4
202008;22/08/20;84;31;20;63;16;84;PM10;SEDANG;DKI4
202008;23/08/20;72;33;27;88;14;88;O3;SEDANG;DKI5
202008;24/08/20;79;31;17;68;14;79;PM10;SEDANG;DKI4
202008;25/08/20;74;33;13;75;17;75;O3;SEDANG;DKI5
202008;26/08/20;63;31;9;100;11;100;O3;SEDANG;DKI5
202008;27/08/20;57;31;10;80;11;80;O3;SEDANG;DKI5
202008;28/08/20;84;33;15;67;16;84;PM10;SEDANG;DKI4
202008;29/08/20;70;33;12;71;12;71;O3;SEDANG;DKI5
202008;30/08/20;74;33;15;79;10;79;O3;SEDANG;DKI5
202008;31/08/20;69;33;13;134;14;134;O3;TIDAK SEHAT;DKI5
202009;17/09/20;65;52;11;45;23;83;PM25;SEDANG;DKI4
202009;18/09/20;70;51;15;40;19;106;PM25;TIDAK SEHAT;DKI4
202009;19/09/20;88;56;14;40;20;119;PM25;TIDAK SEHAT;DKI4
202009;20/09/20;73;52;15;31;13;86;PM25;SEDANG;DKI3
202009;21/09/20;65;50;19;28;18;85;PM25;SEDANG;DKI4
202009;22/09/20;62;50;15;39;19;67;PM25;SEDANG;DKI4
202009;23/09/20;73;51;17;32;30;102;PM25;TIDAK SEHAT;DKI2
202009;24/09/20;57;44;16;39;29;93;PM25;SEDANG;DKI3
202001;01/01/20;38;36;25;46;9;46;O3;BAIK;DKI5
202001;02/01/20;45;36;39;102;8;102;O3;TIDAK SEHAT;DKI5
202001;03/01/20;51;37;27;63;10;63;O3;SEDANG;DKI5
202001;04/01/20;51;38;19;85;10;85;O3;SEDANG;DKI5
202001;05/01/20;52;39;25;62;9;62;O3;SEDANG;DKI5
202001;06/01/20;62;37;39;64;9;64;O3;SEDANG;DKI5
202001;07/01/20;50;38;39;66;11;66;O3;SEDANG;DKI5
202001;08/01/20;52;40;22;70;11;70;O3;SEDANG;DKI5
202001;09/01/20;82;38;58;71;13;82;PM10;SEDANG;DKI4
202001;10/01/20;44;37;27;47;9;47;O3;BAIK;DKI5
202001;11/01/20;44;38;25;80;9;80;O3;SEDANG;DKI5
202001;12/01/20;43;38;17;46;5;46;O3;BAIK;DKI5
202001;13/01/20;42;38;15;51;8;51;O3;SEDANG;DKI4
202001;14/01/20;40;32;17;48;9;48;O3;BAIK;DKI4
202001;15/01/20;44;29;16;63;9;63;O3;SEDANG;DKI3
202001;16/01/20;70;60;41;78;12;78;O3;SEDANG;DKI3
202001;17/01/20;86;34;40;125;20;125;O3;TIDAK SEHAT;DKI4
202001;18/01/20;59;30;25;75;7;75;O3;SEDANG;DKI4
202001;19/01/20;76;34;71;110;15;110;O3;TIDAK SEHAT;DKI3
202001;20/01/20;56;31;20;65;9;65;O3;SEDANG;DKI3
202001;21/01/20;62;36;41;50;15;62;PM10;SEDANG;DKI3
202001;22/01/20;82;36;43;64;15;82;PM10;SEDANG;DKI4
202001;23/01/20;60;32;29;59;18;60;PM10;SEDANG;DKI4
202001;24/01/20;71;30;31;44;13;71;PM10;SEDANG;DKI4
202001;25/01/20;40;29;34;80;12;80;O3;SEDANG;DKI5
202001;26/01/20;63;30;51;89;11;89;O3;SEDANG;DKI5
202001;27/01/20;48;30;29;83;13;83;O3;SEDANG;DKI2
202001;28/01/20;72;31;39;74;17;74;O3;SEDANG;DKI3
202001;29/01/20;70;30;42;92;19;92;O3;SEDANG;DKI4
202001;30/01/20;38;30;21;80;20;80;O3;SEDANG;DKI4
202001;31/01/20;56;30;27;54;16;56;PM10;SEDANG;DKI4
202003;02/03/20;22;---;35;213;11;213;4;O3;SANGAT TIDAK SEHAT
202003;03/03/20;22;---;---;201;15;201;4;O3;SANGAT TIDAK SEHAT
202003;04/03/20;54;---;39;152;13;152;4;O3;TIDAK SEHAT
202003;05/03/20;59;---;32;206;5;206;4;O3;SANGAT TIDAK SEHAT
202003;06/03/20;24;17;52;95;3;95;4;O3;SEDANG
202003;07/03/20;34;27;40;54;7;54;4;O3;SEDANG
202003;08/03/20;30;24;40;58;5;58;4;O3;SEDANG
202003;09/03/20;52;22;38;59;7;59;4;O3;SEDANG
202003;10/03/20;32;21;39;43;4;43;4;O3;BAIK
202003;11/03/20;25;20;36;41;4;41;4;O3;BAIK
202003;12/03/20;34;20;46;63;4;63;4;O3;SEDANG
202003;13/03/20;44;19;58;72;10;72;4;O3;SEDANG
202003;14/03/20;32;19;51;69;6;69;4;O3;SEDANG
202003;15/03/20;66;22;59;179;8;179;4;O3;TIDAK SEHAT
202003;16/03/20;53;18;63;92;8;92;4;O3;SEDANG
202003;17/03/20;48;19;62;70;9;70;4;O3;SEDANG
202003;18/03/20;40;18;38;101;9;101;4;O3;TIDAK SEHAT
202003;19/03/20;45;18;35;90;6;90;4;O3;SEDANG
202003;20/03/20;69;---;33;99;7;99;4;O3;SEDANG
202003;21/03/20;51;---;11;83;8;83;4;O3;SEDANG
202003;22/03/20;42;---;15;84;6;84;4;O3;SEDANG
202003;23/03/20;27;---;5;71;7;71;4;O3;SEDANG
202003;24/03/20;52;---;14;105;7;105;4;O3;TIDAK SEHAT
202003;25/03/20;70;---;25;93;11;93;4;O3;SEDANG
202003;26/03/20;34;---;6;99;5;99;4;O3;SEDANG
202003;27/03/20;44;---;9;67;5;67;4;O3;SEDANG
202003;28/03/20;40;---;6;117;5;117;4;O3;TIDAK SEHAT
202003;29/03/20;58;11;12;124;6;124;4;O3;TIDAK SEHAT
202003;30/03/20;65;14;11;91;7;91;4;O3;SEDANG
202003;31/03/20;53;9;10;76;5;76;4;O3;SEDANG
202003;31/03/20;47;11;14;96;6;96;4;O3;SEDANG
202004;01/04/20;51;25;35;129;10;129;O3;TIDAK SEHAT;DKI5
