;tanggal;pm10;so2;co;o3;no2;category;lokasi_spku;year;month;day;day_of_week;max;critical
0;2020-05-01;55;26;21;83;10;SEDANG;DKI5;2020;5;1;4;83;o3
1;2020-05-02;36;22;12;80;9;SEDANG;DKI5;2020;5;2;5;80;o3
2;2020-05-03;65;34;35;49;11;SEDANG;DKI5;2020;5;3;6;65;pm10
3;2020-05-04;53;21;14;75;8;SEDANG;DKI5;2020;5;4;0;75;o3
4;2020-05-05;53;22;18;73;9;SEDANG;DKI5;2020;5;5;1;73;o3
5;2020-05-06;52;22;14;63;7;SEDANG;DKI5;2020;5;6;2;63;o3
6;2020-05-07;67;24;18;69;9;SEDANG;DKI5;2020;5;7;3;69;o3
7;2020-05-08;91;22;18;120;10;TIDAK SEHAT;DKI5;2020;5;8;4;120;o3
8;2020-05-09;77;22;22;75;12;SEDANG;DKI4;2020;5;9;5;77;pm10
9;2020-05-10;72;23;27;81;15;SEDANG;DKI5;2020;5;10;6;81;o3
10;2020-05-11;54;24;18;83;8;SEDANG;DKI5;2020;5;11;0;83;o3
11;2020-05-12;57;23;20;81;10;SEDANG;DKI5;2020;5;12;1;81;o3
12;2020-05-13;55;22;17;79;8;SEDANG;DKI5;2020;5;13;2;79;o3
13;2020-05-14;61;23;17;64;12;SEDANG;DKI3;2020;5;14;3;64;o3
14;2020-05-15;66;23;18;62;9;SEDANG;DKI2;2020;5;15;4;66;pm10
15;2020-05-16;65;23;17;77;8;SEDANG;DKI5;2020;5;16;5;77;o3
16;2020-05-17;74;23;18;122;9;TIDAK SEHAT;DKI5;2020;5;17;6;122;o3
17;2020-05-18;62;21;15;79;10;SEDANG;DKI5;2020;5;18;0;79;o3
18;2020-05-19;42;23;15;119;13;TIDAK SEHAT;DKI5;2020;5;19;1;119;o3
19;2020-05-20;61;23;14;73;9;SEDANG;DKI4;2020;5;20;2;73;o3
20;2020-05-21;33;23;14;79;12;SEDANG;DKI2;2020;5;21;3;79;o3
