periode_data;tanggal;pm_10;pm_duakomalima;so2;co;o3;no2;max;critical;categori;lokasi_spku
202212;44.926.625;54;73;56;24;23;24;73;PM2,5;SEDANG;DKI4
202212;30/12/22;40;64;57;21;17;24;64;PM2,5;SEDANG;DKI4
202207;06/07/22;75;129;45;25;71;26;129;PM2,5;TIDAK SEHAT;DKI4
202207;05/07/22;66;110;47;16;61;23;110;PM2,5;TIDAK SEHAT;DKI4
202207;04/07/22;56;78;49;11;60;13;78;PM2,5;SEDANG;DKI4
202207;03/07/22;78;126;48;17;126;25;126;PM2,5;TIDAK SEHAT;DKI2
202207;02/07/22;81;137;47;18;106;29;137;PM2,5;TIDAK SEHAT;DKI4
202208;01/08/22;68;109;50;12;91;19;109;PM2,5;TIDAK SEHAT;DKI4
202208;31/08/22;85;148;51;25;74;37;148;PM2,5;TIDAK SEHAT;DKI4
202208;30/08/22;59;84;50;15;56;29;84;PM2,5;SEDANG;DKI4
202208;29/08/22;58;82;49;16;55;29;82;PM2,5;SEDANG;DKI4
202208;28/08/22;64;85;49;17;56;30;85;PM2,5;SEDANG;DKI5
202208;27/08/22;80;130;50;25;57;37;130;PM2,5;TIDAK SEHAT;DKI4
202208;26/08/22;76;119;53;19;53;31;119;PM2,5;TIDAK SEHAT;DKI4
202208;25/08/22;64;98;50;12;66;19;98;PM2,5;SEDANG;DKI4
202208;24/08/22;71;119;50;15;82;20;119;PM2,5;TIDAK SEHAT;DKI4
202208;23/08/22;76;116;49;17;81;27;116;PM2,5;TIDAK SEHAT;DKI4
202208;22/08/22;57;78;49;13;79;22;79;O3;SEDANG;DKI2
202208;21/08/22;59;101;49;13;65;17;101;PM2,5;TIDAK SEHAT;DKI4
202208;20/08/22;76;117;50;14;69;18;117;PM2,5;TIDAK SEHAT;DKI4
202208;19/08/22;70;105;49;14;66;26;105;PM2,5;TIDAK SEHAT;DKI4
202208;18/08/22;64;89;49;25;84;28;89;PM2,5;SEDANG;DKI4
202208;17/08/22;55;78;48;17;108;25;108;O3;TIDAK SEHAT;DKI2
202208;16/08/22;61;89;51;15;181;33;181;O3;TIDAK SEHAT;DKI2
202208;15/08/22;64;84;50;17;63;28;84;PM2,5;SEDANG;DKI4
202208;14/08/22;68;93;50;14;80;20;93;PM2,5;SEDANG;DKI4
202208;13/08/22;58;77;48;21;76;36;77;PM2,5;SEDANG;DKI5
202208;12/08/22;65;94;49;17;97;25;97;O3;SEDANG;DKI2
202208;11/08/22;74;107;52;19;80;27;107;PM2,5;TIDAK SEHAT;DKI4
202208;10/08/22;73;116;49;19;82;29;116;PM2,5;TIDAK SEHAT;DKI4
202208;09/08/22;61;88;50;14;103;21;103;O3;TIDAK SEHAT;DKI2
202208;08/08/22;60;84;48;18;97;27;97;O3;SEDANG;DKI2
202208;07/08/22;76;119;50;18;114;29;119;PM2,5;TIDAK SEHAT;DKI4
202208;06/08/22;69;101;49;19;87;29;101;PM2,5;TIDAK SEHAT;DKI4
202208;05/08/22;60;82;47;17;79;26;82;PM2,5;SEDANG;DKI4
202208;04/08/22;69;99;48;15;82;20;99;PM2,5;SEDANG;DKI4
202208;03/08/22;82;141;51;19;129;24;141;PM2,5;TIDAK SEHAT;DKI4
202208;02/08/22;67;113;50;15;84;28;113;PM2,5;TIDAK SEHAT;DKI4
202209;01/09/22;83;130;51;15;42;25;130;PM2,5;TIDAK SEHAT;DKI4
202209;30/09/22;71;103;51;14;45;23;103;PM2,5;TIDAK SEHAT;DKI4
202209;29/09/22;62;100;51;14;50;21;100;PM2,5;SEDANG;DKI4
202209;28/09/22;62;92;51;13;55;24;92;PM2,5;SEDANG;DKI4
202209;27/09/22;63;86;51;14;58;26;86;PM2,5;SEDANG;DKI4
202209;26/09/22;57;79;51;14;56;26;79;PM2,5;SEDANG;DKI5
202209;25/09/22;58;94;50;14;48;25;94;PM2,5;SEDANG;DKI4
202209;24/09/22;57;83;50;17;39;33;83;PM2,5;SEDANG;DKI4
202209;23/09/22;73;97;50;24;50;45;97;PM2,5;SEDANG;DKI2
202209;22/09/22;63;90;50;16;37;24;90;PM2,5;SEDANG;DKI5
202209;21/09/22;69;112;50;17;42;32;112;PM2,5;TIDAK SEHAT;DKI4
202209;20/09/22;66;110;51;21;37;41;110;PM2,5;TIDAK SEHAT;DKI4
202209;19/09/22;70;113;51;17;46;28;113;PM2,5;TIDAK SEHAT;DKI4
202209;18/09/22;72;113;51;21;43;33;113;PM2,5;TIDAK SEHAT;DKI4
202209;17/09/22;70;103;51;19;49;35;103;PM2,5;TIDAK SEHAT;DKI4
202209;16/09/22;62;100;51;18;52;33;100;PM2,5;SEDANG;DKI4
202209;15/09/22;78;117;51;26;34;39;117;PM2,5;TIDAK SEHAT;DKI4
202209;14/09/22;67;113;53;18;42;38;113;PM2,5;TIDAK SEHAT;DKI4
202209;13/09/22;59;81;52;18;45;32;81;PM2,5;SEDANG;DKI1
202209;12/09/22;53;79;52;18;35;27;79;PM2,5;SEDANG;DKI4
202209;11/09/22;64;88;51;20;37;34;88;PM2,5;SEDANG;DKI4
202209;10/09/22;56;72;48;22;41;39;72;PM2,5;SEDANG;DKI4
202209;09/09/22;71;91;49;28;32;43;91;PM2,5;SEDANG;DKI5
202209;08/09/22;61;87;48;26;32;45;87;PM2,5;SEDANG;DKI4
202209;07/09/22;55;79;49;15;38;21;79;PM2,5;SEDANG;DKI4
202209;06/09/22;63;86;51;12;43;17;86;PM2,5;SEDANG;DKI4
202209;05/09/22;59;105;51;15;45;23;105;PM2,5;TIDAK SEHAT;DKI4
202209;04/09/22;42;76;50;9;33;14;76;PM2,5;SEDANG;DKI4
202209;03/09/22;64;102;50;18;37;31;102;PM2,5;TIDAK SEHAT;DKI4
202209;02/09/22;71;108;51;21;35;32;108;PM2,5;TIDAK SEHAT;DKI4
202210;26/10/22;39;43;51;11;27;17;51;SO2;SEDANG;DKI4
202210;25/10/22;27;53;51;9;30;19;53;PM2,5;SEDANG;DKI2
202210;24/10/22;41;57;50;10;31;18;57;PM2,5;SEDANG;DKI4
202210;23/10/22;52;66;51;11;45;21;66;PM2,5;SEDANG;DKI4
202210;22/10/22;58;82;51;19;39;41;82;PM2,5;SEDANG;DKI4
202210;21/10/22;52;67;50;16;31;27;67;PM2,5;SEDANG;DKI4
202210;20/10/22;67;88;51;28;47;45;88;PM2,5;SEDANG;DKI4
202210;19/10/22;64;92;51;22;42;44;92;PM2,5;SEDANG;DKI4
202210;18/10/22;59;79;50;16;45;35;79;PM2,5;SEDANG;DKI1
202210;17/10/22;56;85;51;13;54;25;85;PM2,5;SEDANG;DKI4
202210;16/10/22;62;93;51;19;52;36;93;PM2,5;SEDANG;DKI4
202210;15/10/22;55;78;51;13;58;27;78;PM2,5;SEDANG;DKI4
202210;14/10/22;67;94;50;28;47;45;94;PM2,5;SEDANG;DKI4
202210;13/10/22;63;91;52;17;54;36;91;PM2,5;SEDANG;DKI4
202210;12/10/22;70;97;54;27;44;42;97;PM2,5;SEDANG;DKI4
