,tanggal,pm_10,pm_2.5,so2,co,o3,no2,max,critical,category,lokasi_spku,year,month,day,day_of_week
0,2022-12-30,40,64,57,21,17,24,64,pm_2.5,SEDANG,DKI4,2022,12,30,4
1,2022-07-06,75,129,45,25,71,26,129,pm_2.5,TIDAK SEHAT,DKI4,2022,7,6,2
2,2022-07-05,66,110,47,16,61,23,110,pm_2.5,TIDAK SEHAT,DKI4,2022,7,5,1
3,2022-07-04,56,78,49,11,60,13,78,pm_2.5,SEDANG,DKI4,2022,7,4,0
4,2022-07-03,78,126,48,17,126,25,126,pm_2.5,TIDAK SEHAT,DKI2,2022,7,3,6
5,2022-07-02,81,137,47,18,106,29,137,pm_2.5,TIDAK SEHAT,DKI4,2022,7,2,5
6,2022-08-01,68,109,50,12,91,19,109,pm_2.5,TIDAK SEHAT,DKI4,2022,8,1,0
7,2022-08-31,85,148,51,25,74,37,148,pm_2.5,TIDAK SEHAT,DKI4,2022,8,31,2
8,2022-08-30,59,84,50,15,56,29,84,pm_2.5,SEDANG,DKI4,2022,8,30,1
9,2022-08-29,58,82,49,16,55,29,82,pm_2.5,SEDANG,DKI4,2022,8,29,0
10,2022-08-28,64,85,49,17,56,30,85,pm_2.5,SEDANG,DKI5,2022,8,28,6
11,2022-08-27,80,130,50,25,57,37,130,pm_2.5,TIDAK SEHAT,DKI4,2022,8,27,5
12,2022-08-26,76,119,53,19,53,31,119,pm_2.5,TIDAK SEHAT,DKI4,2022,8,26,4
13,2022-08-25,64,98,50,12,66,19,98,pm_2.5,SEDANG,DKI4,2022,8,25,3
14,2022-08-24,71,119,50,15,82,20,119,pm_2.5,TIDAK SEHAT,DKI4,2022,8,24,2
15,2022-08-23,76,116,49,17,81,27,116,pm_2.5,TIDAK SEHAT,DKI4,2022,8,23,1
16,2022-08-22,57,78,49,13,79,22,79,o3,SEDANG,DKI2,2022,8,22,0
17,2022-08-21,59,101,49,13,65,17,101,pm_2.5,TIDAK SEHAT,DKI4,2022,8,21,6
18,2022-08-20,76,117,50,14,69,18,117,pm_2.5,TIDAK SEHAT,DKI4,2022,8,20,5
19,2022-08-19,70,105,49,14,66,26,105,pm_2.5,TIDAK SEHAT,DKI4,2022,8,19,4
20,2022-08-18,64,89,49,25,84,28,89,pm_2.5,SEDANG,DKI4,2022,8,18,3
21,2022-08-17,55,78,48,17,108,25,108,o3,TIDAK SEHAT,DKI2,2022,8,17,2
22,2022-08-16,61,89,51,15,181,33,181,o3,TIDAK SEHAT,DKI2,2022,8,16,1
23,2022-08-15,64,84,50,17,63,28,84,pm_2.5,SEDANG,DKI4,2022,8,15,0
24,2022-08-14,68,93,50,14,80,20,93,pm_2.5,SEDANG,DKI4,2022,8,14,6
25,2022-08-13,58,77,48,21,76,36,77,pm_2.5,SEDANG,DKI5,2022,8,13,5
26,2022-08-12,65,94,49,17,97,25,97,o3,SEDANG,DKI2,2022,8,12,4
27,2022-08-11,74,107,52,19,80,27,107,pm_2.5,TIDAK SEHAT,DKI4,2022,8,11,3
28,2022-08-10,73,116,49,19,82,29,116,pm_2.5,TIDAK SEHAT,DKI4,2022,8,10,2
29,2022-08-09,61,88,50,14,103,21,103,o3,TIDAK SEHAT,DKI2,2022,8,9,1
30,2022-08-08,60,84,48,18,97,27,97,o3,SEDANG,DKI2,2022,8,8,0
31,2022-08-07,76,119,50,18,114,29,119,pm_2.5,TIDAK SEHAT,DKI4,2022,8,7,6
32,2022-08-06,69,101,49,19,87,29,101,pm_2.5,TIDAK SEHAT,DKI4,2022,8,6,5
33,2022-08-05,60,82,47,17,79,26,82,pm_2.5,SEDANG,DKI4,2022,8,5,4
34,2022-08-04,69,99,48,15,82,20,99,pm_2.5,SEDANG,DKI4,2022,8,4,3
35,2022-08-03,82,141,51,19,129,24,141,pm_2.5,TIDAK SEHAT,DKI4,2022,8,3,2
36,2022-08-02,67,113,50,15,84,28,113,pm_2.5,TIDAK SEHAT,DKI4,2022,8,2,1
37,2022-09-01,83,130,51,15,42,25,130,pm_2.5,TIDAK SEHAT,DKI4,2022,9,1,3
38,2022-09-30,71,103,51,14,45,23,103,pm_2.5,TIDAK SEHAT,DKI4,2022,9,30,4
39,2022-09-29,62,100,51,14,50,21,100,pm_2.5,SEDANG,DKI4,2022,9,29,3
40,2022-09-28,62,92,51,13,55,24,92,pm_2.5,SEDANG,DKI4,2022,9,28,2
41,2022-09-27,63,86,51,14,58,26,86,pm_2.5,SEDANG,DKI4,2022,9,27,1
42,2022-09-26,57,79,51,14,56,26,79,pm_2.5,SEDANG,DKI5,2022,9,26,0
43,2022-09-25,58,94,50,14,48,25,94,pm_2.5,SEDANG,DKI4,2022,9,25,6
44,2022-09-24,57,83,50,17,39,33,83,pm_2.5,SEDANG,DKI4,2022,9,24,5
45,2022-09-23,73,97,50,24,50,45,97,pm_2.5,SEDANG,DKI2,2022,9,23,4
46,2022-09-22,63,90,50,16,37,24,90,pm_2.5,SEDANG,DKI5,2022,9,22,3
47,2022-09-21,69,112,50,17,42,32,112,pm_2.5,TIDAK SEHAT,DKI4,2022,9,21,2
48,2022-09-20,66,110,51,21,37,41,110,pm_2.5,TIDAK SEHAT,DKI4,2022,9,20,1
49,2022-09-19,70,113,51,17,46,28,113,pm_2.5,TIDAK SEHAT,DKI4,2022,9,19,0
50,2022-09-18,72,113,51,21,43,33,113,pm_2.5,TIDAK SEHAT,DKI4,2022,9,18,6
51,2022-09-17,70,103,51,19,49,35,103,pm_2.5,TIDAK SEHAT,DKI4,2022,9,17,5
52,2022-09-16,62,100,51,18,52,33,100,pm_2.5,SEDANG,DKI4,2022,9,16,4
53,2022-09-15,78,117,51,26,34,39,117,pm_2.5,TIDAK SEHAT,DKI4,2022,9,15,3
54,2022-09-14,67,113,53,18,42,38,113,pm_2.5,TIDAK SEHAT,DKI4,2022,9,14,2
55,2022-09-13,59,81,52,18,45,32,81,pm_2.5,SEDANG,DKI1,2022,9,13,1
56,2022-09-12,53,79,52,18,35,27,79,pm_2.5,SEDANG,DKI4,2022,9,12,0
57,2022-09-11,64,88,51,20,37,34,88,pm_2.5,SEDANG,DKI4,2022,9,11,6
58,2022-09-10,56,72,48,22,41,39,72,pm_2.5,SEDANG,DKI4,2022,9,10,5
59,2022-09-09,71,91,49,28,32,43,91,pm_2.5,SEDANG,DKI5,2022,9,9,4
60,2022-09-08,61,87,48,26,32,45,87,pm_2.5,SEDANG,DKI4,2022,9,8,3
61,2022-09-07,55,79,49,15,38,21,79,pm_2.5,SEDANG,DKI4,2022,9,7,2
62,2022-09-06,63,86,51,12,43,17,86,pm_2.5,SEDANG,DKI4,2022,9,6,1
63,2022-09-05,59,105,51,15,45,23,105,pm_2.5,TIDAK SEHAT,DKI4,2022,9,5,0
64,2022-09-04,42,76,50,9,33,14,76,pm_2.5,SEDANG,DKI4,2022,9,4,6
65,2022-09-03,64,102,50,18,37,31,102,pm_2.5,TIDAK SEHAT,DKI4,2022,9,3,5
66,2022-09-02,71,108,51,21,35,32,108,pm_2.5,TIDAK SEHAT,DKI4,2022,9,2,4
67,2022-10-26,39,43,51,11,27,17,51,so2,SEDANG,DKI4,2022,10,26,2
68,2022-10-25,27,53,51,9,30,19,53,pm_2.5,SEDANG,DKI2,2022,10,25,1
69,2022-10-24,41,57,50,10,31,18,57,pm_2.5,SEDANG,DKI4,2022,10,24,0
70,2022-10-23,52,66,51,11,45,21,66,pm_2.5,SEDANG,DKI4,2022,10,23,6
71,2022-10-22,58,82,51,19,39,41,82,pm_2.5,SEDANG,DKI4,2022,10,22,5
72,2022-10-21,52,67,50,16,31,27,67,pm_2.5,SEDANG,DKI4,2022,10,21,4
73,2022-10-20,67,88,51,28,47,45,88,pm_2.5,SEDANG,DKI4,2022,10,20,3
74,2022-10-19,64,92,51,22,42,44,92,pm_2.5,SEDANG,DKI4,2022,10,19,2
75,2022-10-18,59,79,50,16,45,35,79,pm_2.5,SEDANG,DKI1,2022,10,18,1
76,2022-10-17,56,85,51,13,54,25,85,pm_2.5,SEDANG,DKI4,2022,10,17,0
77,2022-10-16,62,93,51,19,52,36,93,pm_2.5,SEDANG,DKI4,2022,10,16,6
78,2022-10-15,55,78,51,13,58,27,78,pm_2.5,SEDANG,DKI4,2022,10,15,5
79,2022-10-14,67,94,50,28,47,45,94,pm_2.5,SEDANG,DKI4,2022,10,14,4
80,2022-10-13,63,91,52,17,54,36,91,pm_2.5,SEDANG,DKI4,2022,10,13,3
81,2022-10-12,70,97,54,27,44,42,97,pm_2.5,SEDANG,DKI4,2022,10,12,2
82,2022-10-11,77,126,51,23,59,45,126,pm_2.5,TIDAK SEHAT,DKI4,2022,10,11,1
